Date,Open,High,Low,Close,Adj Close,Volume
2019-06-01,28.750000,34.299999,27.290001,30.370001,30.370001,1578306600
2019-07-01,31.790001,34.860001,30.100000,30.450001,30.450001,1155856000
2019-08-01,30.500000,35.549999,27.650000,31.450001,31.450001,1645672800
2019-09-01,30.830000,32.049999,28.350000,28.990000,28.990000,1012749700
2019-10-01,29.049999,34.340000,27.430000,33.930000,33.930000,1067281800
2019-11-01,34.369999,41.790001,34.099998,39.150002,39.150002,1202279900
2019-12-01,39.320000,47.310001,37.150002,45.860001,45.860001,982440800
2020-01-01,46.860001,52.810001,46.099998,47.000000,47.000000,1227882000
2020-02-01,46.400002,59.270000,41.040001,45.480000,45.480000,1283576300
2020-03-01,47.419998,50.200001,36.750000,45.480000,45.480000,2095887300
2020-04-01,44.180000,58.630001,41.700001,52.389999,52.389999,1714919300
2020-05-01,51.070000,56.580002,49.090000,52.180000,52.180000,527307800
